Filename,Severity,Folder,Description
"sound4-directory-listing.yaml","medium","misconfiguration/sound4-directory-listing.yaml","The application is vulnerable to sensitive directory indexing / information disclosure vulnerability. An unauthenticated attacker can visit the log directory and disclose the server's log files containing sensitive and system information. "
"envoy-admin-exposure.yaml","medium","misconfiguration/envoy-admin-exposure.yaml","Envoy Admin page exposed."
"slurm-hpc-dashboard.yaml","medium","misconfiguration/slurm-hpc-dashboard.yaml","Slurm HPC Dashboard was detected. "
"misconfigured-docker.yaml","critical","misconfiguration/misconfigured-docker.yaml","A Docker container misconfiguration was discovered. The Docker daemon can listen for Docker Engine API requests via three different types of Socket - unix, tcp, and fd. With tcp enabled, the default setup provides un-encrypted and un-authenticated direct access to the Docker daemon. It is conventional to use port 2375 for un-encrypted, and port 2376 for encrypted communication with the daemon."
"rethinkdb-admin-console.yaml","medium","misconfiguration/rethinkdb-admin-console.yaml","RethinkDB Administration Console was detected."
"casdoor-users-password.yaml","high","misconfiguration/casdoor-users-password.yaml","Casdoor get-users Account Password is exposed."
"unauthorized-puppet-node-manager-detect.yaml","medium","misconfiguration/unauthorized-puppet-node-manager-detect.yaml","Pupper Node Manager is exposed to external users."
"browserless-debugger.yaml","medium","misconfiguration/browserless-debugger.yaml","Browserless instance can be used to make web requests. May worth checking /workspace for juicy files."
"unauth-mercurial.yaml","high","misconfiguration/unauth-mercurial.yaml","Mercurial repositories index is disclosed."
"bitbucket-auth-bypass.yaml","critical","misconfiguration/bitbucket-auth-bypass.yaml","There is a permission bypass vulnerability through %20, which allows arbitrary users to obtain sensitive data "
"zenphoto-sensitive-info.yaml","medium","misconfiguration/zenphoto-sensitive-info.yaml","Misconfiguration on Zenphoto version < 1.5.X which lead to sensitive information disclosure"
"unauthorized-hp-printer.yaml","high","misconfiguration/hp/unauthorized-hp-printer.yaml","HP Printer is exposed."
"unauthorized-printer-hp.yaml","high","misconfiguration/hp/unauthorized-printer-hp.yaml","HP office pro printer web access is exposed."
"unauth-celery-flower.yaml","high","misconfiguration/unauth-celery-flower.yaml","Celery Flower was able to be accessed with no authentication requirements in place. "
"apollo-adminservice-unauth.yaml","medium","misconfiguration/apollo-adminservice-unauth.yaml","ApolloAdminservice was able to be accessed without authentication. "
"cobbler-exposed-directory.yaml","medium","misconfiguration/cobbler-exposed-directory.yaml","Searches for exposed Cobbler Directories"
"multilaser-pro-setup.yaml","high","misconfiguration/multilaser-pro-setup.yaml","This allows the user to access quick setup settings and configuration page through /wizard.htm."
"artifactory-anonymous-deploy.yaml","high","misconfiguration/artifactory-anonymous-deploy.yaml","Artifactory anonymous repo is exposed."
"prometheus-promtail.yaml","medium","misconfiguration/prometheus-promtail.yaml","Prometheus Promtail is an agent that gathers log data from various sources, such as files or systemd journal. "
"linkerd-ssrf-detect.yaml","high","misconfiguration/linkerd-ssrf-detect.yaml","Linkerd is vulnerable to SSRF."
"unauth-ldap-account-manager.yaml","medium","misconfiguration/unauth-ldap-account-manager.yaml","LDAP Account Manager is exposed to external users."
"h2o-dashboard.yaml","high","misconfiguration/h2o/h2o-dashboard.yaml","H2o dashboard by default has no authentication and can lead to RCE on the host. "
"h2o-arbitary-file-read.yaml","medium","misconfiguration/h2o/h2o-arbitary-file-read.yaml","H2O allows for arbitrary path lookup via it's Typehead API endpoint "
"repetier-unauth.yaml","high","misconfiguration/repetier-unauth.yaml","Repetier Server Dashboard has been exposed. "
"unauth-opache-control-panel.yaml","medium","misconfiguration/unauth-opache-control-panel.yaml","Opache control Panel is exposed."
"php-src-disclosure.yaml","high","misconfiguration/php-src-disclosure.yaml","A source code disclosure vulnerability in a web server caused by improper handling of multiple requests in quick succession, leading to the server treating requested files as static files instead of executing scripts. "
"java-melody-exposed.yaml","medium","misconfiguration/java-melody-exposed.yaml","JavaMelody is a tool used to monitor Java or Java EE applications in QA and production environments. JavaMelody was detected on this web application. One option in the dashboard is to View http sessions. This can be used by an attacker to steal a user's session."
"ibm-friendly-path-exposure.yaml","medium","misconfiguration/ibm-friendly-path-exposure.yaml","Finds friendly path exposed that can be used to access signup page and create new user accounts."
"mobsf-framework-exposure.yaml","high","misconfiguration/mobsf-framework-exposure.yaml","MobSF Framework is exposed."
"skycaiji-install.yaml","high","misconfiguration/skycaiji-install.yaml","SkyCaiji was discovered."
"tcpconfig.yaml","medium","misconfiguration/tcpconfig.yaml","TCP/IP configuration information was detected."
"formalms-install.yaml","high","misconfiguration/formalms-install.yaml","Formalms Installation is exposed."
"clickhouse-unauth-api.yaml","high","misconfiguration/clickhouse-unauth-api.yaml","Clickhouse API Database is exposed."
"cadvisor-exposure.yaml","medium","misconfiguration/cadvisor-exposure.yaml","cAdvisor page was detected."
"jupyter-ipython-unauth.yaml","critical","misconfiguration/jupyter-ipython-unauth.yaml","Jupyter was able to be accessed without authentication."
"espeasy-mega-exposure.yaml","high","misconfiguration/espeasy-mega-exposure.yaml","ESPEasy Mega Panel is exposed."
"servicenow-title-injection.yaml","high","misconfiguration/servicenow-title-injection.yaml",""
"wamp-server-configuration.yaml","medium","misconfiguration/wamp-server-configuration.yaml","Wamp default page will expose sensitive configuration and vhosts."
"doris-dashboard.yaml","medium","misconfiguration/doris-dashboard.yaml","Unauthorized access to the Doris Dashboard."
"mlflow-unauth.yaml","high","misconfiguration/mlflow-unauth.yaml","Unauthenticated Access to MLflow dashboard. "
"fossbilling-installer.yaml","high","misconfiguration/installer/fossbilling-installer.yaml","FOSSBilling installation dashboard has been detected. "
"alma-installer.yaml","high","misconfiguration/installer/alma-installer.yaml","Alma is susceptible to the Installation page exposure due to misconfiguration."
"smf-installer.yaml","high","misconfiguration/installer/smf-installer.yaml","SMF is susceptible to the Installation page exposure due to misconfiguration."
"matomo-installer.yaml","high","misconfiguration/installer/matomo-installer.yaml","Matomo is susceptible to the Installation page exposure due to misconfiguration."
"indegy-sensor-installer.yaml","high","misconfiguration/installer/indegy-sensor-installer.yaml","Indegy Sensor is susceptible to the Installation page exposure due to misconfiguration."
"akeeba-installer.yaml","high","misconfiguration/installer/akeeba-installer.yaml","Akeeba Backup is susceptible to the Installation page exposure due to misconfiguration."
"stackposts-installer.yaml","high","misconfiguration/installer/stackposts-installer.yaml","Detects exposed StackPosts installation page. "
"avideo-install.yaml","high","misconfiguration/installer/avideo-install.yaml","AVideo installer panel was detected."
"tasmota-install.yaml","high","misconfiguration/installer/tasmota-install.yaml","Tasmota is susceptible to the Installation page exposure due to misconfiguration."
"ampache-music-installer.yaml","high","misconfiguration/installer/ampache-music-installer.yaml","Ampache Music is susceptible to the Installation page exposure due to misconfiguration."
"spip-install.yaml","high","misconfiguration/installer/spip-install.yaml","SPIP is susceptible to the Installation page exposure due to misconfiguration."
"virtual-smartzone-installer.yaml","high","misconfiguration/installer/virtual-smartzone-installer.yaml","Detects exposed Virtual SmartZone Installation page. "
"call-com-installer.yaml","high","misconfiguration/installer/call-com-installer.yaml","Detects exposed Call.com Setup page. "
"limesurvey-installer.yaml","high","misconfiguration/installer/limesurvey-installer.yaml","Limesurvey is susceptible to the Installation page exposure due to misconfiguration."
"tautulli-install.yaml","high","misconfiguration/installer/tautulli-install.yaml","Tautulli is susceptible to the Installation page exposure due to misconfiguration."
"cloudcenter-Installer.yaml","unknown","misconfiguration/installer/cloudcenter-Installer.yaml","CloudCenter is susceptible to the Installation page exposure due to misconfiguration."
"bagisto-installer.yaml","high","misconfiguration/installer/bagisto-installer.yaml","Bagisto is susceptible to the Installation page exposure due to misconfiguration."
"poste-io-installer.yaml","high","misconfiguration/installer/poste-io-installer.yaml","Poste.io is susceptible to the Installation page exposure due to misconfiguration. "
"growi-installer.yaml","high","misconfiguration/installer/growi-installer.yaml","Checks for the presence of a GROWI Installer. "
"elgg-install.yaml","high","misconfiguration/installer/elgg-install.yaml","Elgg Installation was discovered."
"froxlor-installer.yaml","high","misconfiguration/installer/froxlor-installer.yaml","Detects the Froxlor Server Management Panel installation page. "
"jfa-go-installer.yaml","high","misconfiguration/installer/jfa-go-installer.yaml","Detects exposed jfa-go Setup page. "
"easyscripts-installer.yaml","high","misconfiguration/installer/easyscripts-installer.yaml","Easyscripts is susceptible to the Installation page exposure due to misconfiguration."
"drupal-install.yaml","high","misconfiguration/installer/drupal-install.yaml","Drupal Install panel exposed."
"codeigniter-installer.yaml","unknown","misconfiguration/installer/codeigniter-installer.yaml","Codeigniter Application is susceptible to the Installation page exposure due to misconfiguration."
"projectsend-installer.yaml","high","misconfiguration/installer/projectsend-installer.yaml","Detects exposed ProjectSend installation page. "
"businesso-installer.yaml","high","misconfiguration/installer/businesso-installer.yaml","Businesso is susceptible to the Installation page exposure due to misconfiguration."
"orchard-installer.yaml","high","misconfiguration/installer/orchard-installer.yaml","Orchard is susceptible to the Installation page exposure due to misconfiguration. "
"mautic-installer.yaml","high","misconfiguration/installer/mautic-installer.yaml","Mautic is susceptible to the Installation page exposure due to misconfiguration."
"freshrss-installer.yaml","high","misconfiguration/installer/freshrss-installer.yaml","FreshRSS Installation panel has been exposed. "
"xbackbone-installer.yaml","high","misconfiguration/installer/xbackbone-installer.yaml","Checks for the presence of a XBackBone Installer. "
"shopware-installer.yaml","high","misconfiguration/installer/shopware-installer.yaml","Shopware is susceptible to the Installation page exposure due to misconfiguration."
"sumowebtools-installer.yaml","high","misconfiguration/installer/sumowebtools-installer.yaml","SumoWebTools is susceptible to the Installation page exposure due to misconfiguration."
"phpwind-installer.yaml","high","misconfiguration/installer/phpwind-installer.yaml","phpwind is susceptible to the Installation page exposure due to misconfiguration."
"gitea-installer.yaml","medium","misconfiguration/installer/gitea-installer.yaml","Gitea is susceptible to the Installation page exposure due to misconfiguration."
"spa-cart-installer.yaml","high","misconfiguration/installer/spa-cart-installer.yaml","SPA Cart installer was found."
"gibbon-installer.yaml","high","misconfiguration/installer/gibbon-installer.yaml","Gibbon is susceptible to the Installation page exposure due to misconfiguration."
"nopcommerce-installer.yaml","critical","misconfiguration/installer/nopcommerce-installer.yaml","nopCommerce installer panel was detected."
"phpmyfaq-installer.yaml","high","misconfiguration/installer/phpmyfaq-installer.yaml","phpMyFAQ installation is exposed."
"zencart-installer.yaml","high","misconfiguration/installer/zencart-installer.yaml","Zen Cart is susceptible to the Installation page exposure due to misconfiguration."
"pandora-fms-installer.yaml","high","misconfiguration/installer/pandora-fms-installer.yaml","Detects exposed Pandora FMS installation page. "
"redash-installer.yaml","high","misconfiguration/installer/redash-installer.yaml","Redash is susceptible to the Installation page exposure due to misconfiguration."
"testrail-install.yaml","high","misconfiguration/installer/testrail-install.yaml","TestRail is susceptible to the Installation page exposure due to misconfiguration."
"dolphin-installer.yaml","high","misconfiguration/installer/dolphin-installer.yaml","Dolphin is susceptible to the Installation page exposure due to misconfiguration."
"onlyoffice-installer.yaml","high","misconfiguration/installer/onlyoffice-installer.yaml","Detects exposed OnlyOffice Setup page. "
"wiki-js-installer.yaml","high","misconfiguration/installer/wiki-js-installer.yaml","Checks for the presence of a Wiki.js Setup Page. "
"permissions-installer.yaml","high","misconfiguration/installer/permissions-installer.yaml","Permissions Installer is susceptible to the Installation page exposure due to misconfiguration."
"prestashop-installer.yaml","high","misconfiguration/installer/prestashop-installer.yaml","Prestashop is susceptible to the Installation page exposure due to misconfiguration."
"lmszai-installer.yaml","high","misconfiguration/installer/lmszai-installer.yaml","LMSZAI is susceptible to the Installation page exposure due to misconfiguration."
"geniusocean-installer.yaml","high","misconfiguration/installer/geniusocean-installer.yaml","GeniusOcean is susceptible to the Installation page exposure due to misconfiguration."
"wowcms-installer.yaml","high","misconfiguration/installer/wowcms-installer.yaml","WoW CMS is susceptible to the Installation page exposure due to misconfiguration."
"binom-installer.yaml","high","misconfiguration/installer/binom-installer.yaml","Binom is susceptible to the Installation page exposure due to misconfiguration."
"forgejo-installer.yaml","high","misconfiguration/installer/forgejo-installer.yaml","Checks for the presence of a Forgejo Installer Page. "
"invoice-ninja-installer.yaml","high","misconfiguration/installer/invoice-ninja-installer.yaml","Detects exposed Invoice Ninja Setup page. "
"openmage-install.yaml","high","misconfiguration/installer/openmage-install.yaml","OpenMage is susceptible to the Installation page exposure due to misconfiguration."
"combodo-itop-installer.yaml","high","misconfiguration/installer/combodo-itop-installer.yaml","Combodo iTop is susceptible to the Installation page exposure due to misconfiguration."
"sabnzbd-installer.yaml","high","misconfiguration/installer/sabnzbd-installer.yaml","Default installation wizard page of SABnzbd was discovered. "
"connectwise-setup.yaml","high","misconfiguration/installer/connectwise-setup.yaml",""
"nagios-logserver-installer.yaml","high","misconfiguration/installer/nagios-logserver-installer.yaml","Detects the presence of a Nagios Log Server installation page, which can expose configuration setup information or initialization steps. "
"octoprint-installer.yaml","high","misconfiguration/installer/octoprint-installer.yaml","Checks for the presence of a OctoPrint Installer Page. "
"webuzo-installer.yaml","high","misconfiguration/installer/webuzo-installer.yaml","Webuzo is susceptible to the Installation page exposure due to misconfiguration."
"easy-wi-installer.yaml","high","misconfiguration/installer/easy-wi-installer.yaml","Easy-WI is susceptible to the Installation page exposure due to misconfiguration. "
"ruckus-smartzone-install.yaml","high","misconfiguration/installer/ruckus-smartzone-install.yaml","Ruckus SmartZone is susceptible to the Installation page exposure due to misconfiguration."
"navidrome-admin-install.yaml","critical","misconfiguration/installer/navidrome-admin-install.yaml",""
"pagekit-installer.yaml","high","misconfiguration/installer/pagekit-installer.yaml","Pagekit is susceptible to the Installation page exposure due to misconfiguration."
"custom-xoops-installer.yaml","high","misconfiguration/installer/custom-xoops-installer.yaml","Detects the presence of XOOPS Custom installation page. "
"glpi-installer.yaml","high","misconfiguration/installer/glpi-installer.yaml","Detects exposed GLPI Setup page. "
"confluence-installer.yaml","high","misconfiguration/installer/confluence-installer.yaml","Confluence is susceptible to the Installation page exposure due to misconfiguration. "
"espocrm-installer.yaml","high","misconfiguration/installer/espocrm-installer.yaml","Espocrm is susceptible to the Installation page exposure due to misconfiguration."
"eshop-installer.yaml","high","misconfiguration/installer/eshop-installer.yaml","EShop is susceptible to the Installation page exposure due to misconfiguration."
"librenms-installer.yaml","high","misconfiguration/installer/librenms-installer.yaml","Detects exposed LibreNMS installation page. "
"imprivata-installer.yaml","medium","misconfiguration/installer/imprivata-installer.yaml","Imprivata Appliance is susceptible to the Installation page exposure due to misconfiguration."
"bitrix24-installer.yaml","high","misconfiguration/installer/bitrix24-installer.yaml","Bitrix24 is susceptible to the Installation page exposure due to misconfiguration."
"jackett-installer.yaml","high","misconfiguration/installer/jackett-installer.yaml","Jackett installer exposed. "
"phpbb-installer.yaml","high","misconfiguration/installer/phpbb-installer.yaml","phpBB is susceptible to the Installation page exposure due to misconfiguration."
"nodebb-installer.yaml","high","misconfiguration/installer/nodebb-installer.yaml","NodeBB Web is susceptible to the Installation page exposure due to misconfiguration."
"concrete-installer.yaml","high","misconfiguration/installer/concrete-installer.yaml","Concrete is susceptible to the Installation page exposure due to misconfiguration."
"cubebackup-setup-installer.yaml","high","misconfiguration/installer/cubebackup-setup-installer.yaml","Detects exposed CubeBackup Setup page. "
"contentify-installer.yaml","high","misconfiguration/installer/contentify-installer.yaml","Contentify is susceptible to the Installation page exposure due to misconfiguration."
"uvdesk-helpdesk-installer.yaml","high","misconfiguration/installer/uvdesk-helpdesk-installer.yaml","Detects exposed UVDesk Helpdesk Installation page. "
"trilium-notes-installer.yaml","high","misconfiguration/installer/trilium-notes-installer.yaml","Detects if the Trilium Notes setup page is accessible. "
"moodle-installer.yaml","high","misconfiguration/installer/moodle-installer.yaml","Moodle is susceptible to the Installation page exposure due to misconfiguration."
"setup-github-enterprise.yaml","unknown","misconfiguration/installer/setup-github-enterprise.yaml",""
"blesta-installer.yaml","high","misconfiguration/installer/blesta-installer.yaml","Blesta is susceptible to the Installation page exposure due to misconfiguration."
"knowledgetree-installer.yaml","high","misconfiguration/installer/knowledgetree-installer.yaml","KnowledgeTree is susceptible to the Installation page exposure due to misconfiguration."
"nagiosxi-installer.yaml","high","misconfiguration/installer/nagiosxi-installer.yaml","Nagios XI is susceptible to the Installation page exposure due to misconfiguration."
"qloapps-installer.yaml","high","misconfiguration/installer/qloapps-installer.yaml","QloApps Installation Assistant panel exposure. "
"dolibarr-installer.yaml","high","misconfiguration/installer/dolibarr-installer.yaml","Dolibarr is susceptible to the Installation page exposure due to misconfiguration."
"zenphoto-setup.yaml","critical","misconfiguration/installer/zenphoto-setup.yaml","Zenphoto setup page before version 1.5 is susceptible to sensitive information disclosure due to misconfiguration."
"vironeer-installer.yaml","high","misconfiguration/installer/vironeer-installer.yaml","Vironeer is susceptible to the Installation page exposure due to misconfiguration."
"phpipam-installer.yaml","high","misconfiguration/installer/phpipam-installer.yaml","PHP IPAM is susceptible to the Installation page exposure due to misconfiguration. "
"suitecrm-installer.yaml","high","misconfiguration/installer/suitecrm-installer.yaml","SuiteCRM is susceptible to the Installation page exposure due to misconfiguration."
"typo3-installer.yaml","medium","misconfiguration/installer/typo3-installer.yaml","TYPO3 is susceptible to the Installation page exposure due to misconfiguration."
"gogs-installer.yaml","critical","misconfiguration/installer/gogs-installer.yaml","Go Git Service installer panel was detected."
"easy-viserlabs-installer.yaml","high","misconfiguration/installer/easy-viserlabs-installer.yaml","Checks for the presence of a Easy Installer by ViserLab. "
"pmm-installer.yaml","high","misconfiguration/installer/pmm-installer.yaml","PMM is susceptible to the Installation page exposure due to misconfiguration."
"umbraco-installer.yaml","high","misconfiguration/installer/umbraco-installer.yaml","Umbraco is susceptible to the Installation page exposure due to misconfiguration."
"sms-installer.yaml","high","misconfiguration/installer/sms-installer.yaml","SMS Gateway is susceptible to the Installation page exposure due to misconfiguration."
"ejbca-enterprise-installer.yaml","high","misconfiguration/installer/ejbca-enterprise-installer.yaml","Detects exposed EJBCA Enterprise Cloud Installation page. "
"dokuwiki-installer.yaml","high","misconfiguration/installer/dokuwiki-installer.yaml","DokuWiki is susceptible to the Installation page exposure due to misconfiguration."
"processwire-installer.yaml","unknown","misconfiguration/installer/processwire-installer.yaml","ProcessWire 3.x is susceptible to the Installation page exposure due to misconfiguration."
"yzmcms-installer.yaml","high","misconfiguration/installer/yzmcms-installer.yaml","YzmCMS is susceptible to the Installation page exposure due to misconfiguration."
"webasyst-installer.yaml","high","misconfiguration/installer/webasyst-installer.yaml","Webasyst is susceptible to the Installation page exposure due to misconfiguration."
"orangehrm-installer.yaml","high","misconfiguration/installer/orangehrm-installer.yaml","OrangeHrm is susceptible to the Installation page exposure due to misconfiguration."
"snipe-it-installer.yaml","high","misconfiguration/installer/snipe-it-installer.yaml","Detects exposed Snipe-IT Setup page. "
